order_id,date,customer_id,customer_name,product_id,product_name,category,sub_category,price,quantity,discount,shipping_cost,payment_method,region,city,state,order_status,fulfillment,sales_channel
1,2025-06-04,CUST0001,Kathy Williams,PROD0001,Late 150,Books,Non-Fiction,956.67,7,0.13,30.86,COD,East,Port Joshuaview,Alabama,Shipped,FBA,Amazon.com
2,2024-03-16,CUST0002,Robin Williams,PROD0002,Institution 189,Electronics,Headphones,119.58,6,0.01,42.98,COD,East,Millsmouth,New Hampshire,Delivered,FBA,Amazon UK
3,2024-07-24,CUST0003,Edward Cook,PROD0003,Age 566,Electronics,Laptops,839.74,3,0.05,15.65,Amazon Pay,Central,Jimmyside,Kansas,Delivered,Easy Ship,Amazon.com
4,2024-02-15,CUST0004,Jason Blake,PROD0004,Age 963,Books,Fiction,726.78,1,0.03,16.37,Net Banking,North,Foleyton,Kansas,Shipped,Easy Ship,Amazon DE
5,2024-05-24,CUST0005,Brenda Reilly,PROD0005,National 812,Electronics,Laptops,592.74,3,0.04,43.25,Net Banking,Central,Wheelerview,South Carolina,Shipped,FBA,Amazon.com
6,2025-03-03,CUST0006,Joyce Odonnell,PROD0006,Strong 537,Books,Fiction,125.79,10,0.22,32.19,Net Banking,Central,Jackfort,Ohio,Returned,Easy Ship,Amazon UK
7,2024-09-13,CUST0007,Andrew Scott,PROD0007,Red 632,Sports,Outdoor,639.81,9,0.17,31.92,COD,Central,Jeffreyburgh,Arizona,Cancelled,Easy Ship,Amazon DE
8,2025-04-18,CUST0008,James Keith,PROD0008,Level 124,Books,Non-Fiction,1000.5,3,0.27,13.17,Debit Card,North,Andrewland,Louisiana,Shipped,FBM,Amazon.in
9,2025-01-03,CUST0009,Ryan Lyons,PROD0009,Call 111,Books,Non-Fiction,1595.5,4,0.24,49.95,UPI,East,Port Anthony,Maine,Delivered,Easy Ship,Amazon.com
10,2024-02-10,CUST0010,Cynthia Herman,PROD0010,Meet 802,Clothing,Mens Wear,1383.13,5,0.24,16.77,UPI,North,Port Stephanie,Mississippi,Delivered,FBM,Amazon.in
11,2024-11-03,CUST0011,Melissa Cortez,PROD0011,Write 585,Clothing,Kids,798.14,10,0.18,3.4,UPI,East,Deleonmouth,Mississippi,Shipped,FBA,Amazon DE
12,2025-04-08,CUST0012,Frank Ortega,PROD0012,Politics 860,Books,Non-Fiction,280.15,3,0.19,44.82,UPI,West,East Alyssa,New Hampshire,Delivered,FBA,Amazon DE
13,2024-08-02,CUST0013,David Jordan,PROD0013,Beyond 918,Sports,Outdoor,1046.94,10,0.22,17.14,Debit Card,Central,North Jodi,Tennessee,Delivered,FBM,Amazon UK
14,2024-07-25,CUST0014,Amanda Hudson,PROD0014,Character 291,Electronics,Laptops,1939.53,5,0.25,18.28,COD,South,Foleybury,Wyoming,Shipped,Easy Ship,Amazon DE
15,2025-05-26,CUST0015,Geoffrey Erickson,PROD0015,Thus 998,Electronics,Laptops,1730.54,5,0.21,17.1,Net Banking,North,New Erika,Massachusetts,Shipped,FBA,Amazon DE
16,2025-01-11,CUST0016,Taylor Evans,PROD0016,Against 554,Clothing,Kids,909.29,5,0.06,16.51,Credit Card,South,Lake Christinashire,North Carolina,Shipped,Easy Ship,Amazon.in
17,2024-09-11,CUST0017,Joshua Ellis,PROD0017,Stay 246,Electronics,Mobile Phones,1600.06,9,0.05,18.33,COD,East,South Christine,New York,Delivered,FBA,Amazon UK
18,2024-12-04,CUST0018,Kathy Brady,PROD0018,Quite 104,Sports,Outdoor,1964.72,9,0.2,8.37,Net Banking,West,Port Juanfort,Michigan,Processing,FBM,Amazon.in
19,2025-03-16,CUST0019,Julia White,PROD0019,Hope 123,Sports,Cycling,97.62,10,0.26,18.0,Credit Card,Central,Lake Aprilfort,New York,Cancelled,Easy Ship,Amazon UK
20,2024-03-15,CUST0020,Carmen Ware,PROD0020,Up 379,Sports,Fitness,631.16,4,0.1,11.24,UPI,West,Lake Madelineburgh,Alabama,Shipped,FBA,Amazon.in
21,2024-12-29,CUST0021,Tiffany Robbins,PROD0021,Buy 377,Electronics,Headphones,554.54,1,0.29,28.86,COD,East,New Kennethberg,New Mexico,Shipped,FBA,Amazon UK
22,2024-02-27,CUST0022,Linda Gonzalez,PROD0022,Wind 151,Books,Educational,1609.97,10,0.07,5.42,UPI,Central,Johnsonstad,Delaware,Delivered,FBA,Amazon DE
23,2024-04-16,CUST0023,Joe Henderson,PROD0023,Once 731,Electronics,Mobile Phones,946.76,1,0.03,4.58,Debit Card,Central,New Davidberg,Kentucky,Delivered,FBM,Amazon DE
24,2025-05-15,CUST0024,Samuel Black,PROD0024,The 195,Clothing,Womens Wear,671.34,4,0.21,34.2,Net Banking,Central,Port Brett,Massachusetts,Delivered,Easy Ship,Amazon.com
25,2024-12-07,CUST0025,Thomas Tucker,PROD0025,Difficult 981,Home,Kitchen,203.55,5,0.21,36.09,Debit Card,South,Davisbury,Alaska,Delivered,Easy Ship,Amazon.com
26,2025-03-21,CUST0026,Jeffrey Wright,PROD0026,Data 130,Clothing,Womens Wear,1826.59,7,0.06,46.03,UPI,West,Lake Stevenmouth,Nebraska,Shipped,FBA,Amazon DE
27,2024-03-21,CUST0027,Dominique Lawson,PROD0027,Where 620,Home,Kitchen,234.65,8,0.14,10.2,COD,Central,South Amanda,Mississippi,Processing,FBA,Amazon.com
28,2024-01-20,CUST0028,Thomas Carter,PROD0028,Say 704,Home,Furniture,1636.93,2,0.1,33.17,COD,West,East Jeffrey,New Mexico,Processing,FBM,Amazon DE
29,2025-03-07,CUST0029,Roberta Haney,PROD0029,View 903,Clothing,Mens Wear,1245.54,9,0.05,25.15,Debit Card,Central,Anneborough,Mississippi,Shipped,FBM,Amazon DE
30,2025-04-13,CUST0030,Emily Lee,PROD0030,Perform 217,Books,Fiction,1576.78,9,0.21,10.31,Amazon Pay,Central,West Shane,Oklahoma,Delivered,Easy Ship,Amazon DE
31,2024-05-05,CUST0031,John Perez,PROD0031,Management 801,Books,Fiction,931.19,9,0.03,23.37,Net Banking,North,Lake Erikafort,Ohio,Shipped,Easy Ship,Amazon.in
32,2025-05-12,CUST0032,Jessica Edwards,PROD0032,Contain 875,Sports,Fitness,1641.53,6,0.15,33.69,Debit Card,Central,Longville,Oregon,Shipped,FBA,Amazon.in
33,2024-10-07,CUST0033,Grant Carter,PROD0033,Relate 683,Books,Non-Fiction,306.94,9,0.09,31.55,Debit Card,East,South Diane,Colorado,Delivered,Easy Ship,Amazon UK
34,2024-06-09,CUST0034,Scott Walker,PROD0034,Medical 967,Clothing,Womens Wear,1837.82,7,0.22,45.93,COD,North,East Caitlinstad,Oklahoma,Returned,FBA,Amazon DE
35,2024-05-14,CUST0035,Jennifer Ortiz,PROD0035,Even 981,Sports,Outdoor,595.43,6,0.27,48.46,COD,East,Pollardshire,North Carolina,Shipped,FBM,Amazon.in
36,2025-02-05,CUST0036,Carlos Wilson,PROD0036,Far 545,Sports,Outdoor,72.06,7,0.21,20.92,Net Banking,West,Vasquezport,Oregon,Shipped,Easy Ship,Amazon DE
37,2024-07-22,CUST0037,Kenneth Bennett,PROD0037,Economic 395,Clothing,Mens Wear,1328.35,8,0.04,28.66,UPI,West,North Audreyberg,New Jersey,Processing,Easy Ship,Amazon.com
38,2024-08-18,CUST0038,Lynn Brown,PROD0038,Than 186,Electronics,Headphones,277.21,2,0.19,8.91,Amazon Pay,West,New Nicholas,New Hampshire,Cancelled,FBA,Amazon.com
39,2024-02-23,CUST0039,Jason Reese,PROD0039,Word 621,Books,Non-Fiction,1613.82,8,0.27,35.38,COD,South,Matthewport,Arkansas,Cancelled,FBM,Amazon DE
40,2025-03-21,CUST0040,Kristin Flores,PROD0040,Much 829,Home,Decor,1641.94,7,0.11,10.92,COD,West,Hayleyfurt,Oregon,Delivered,Easy Ship,Amazon.com
41,2025-02-02,CUST0041,Jimmy Davis,PROD0041,Card 694,Clothing,Womens Wear,827.57,9,0.17,3.61,Net Banking,East,New Mike,New York,Shipped,FBM,Amazon.in
42,2024-02-26,CUST0042,Jessica Mercado,PROD0042,Data 635,Books,Educational,169.33,9,0.3,49.22,Net Banking,Central,Port Andreamouth,Connecticut,Processing,Easy Ship,Amazon.in
43,2024-02-10,CUST0043,Erica Freeman,PROD0043,Place 647,Electronics,Laptops,498.01,2,0.21,27.88,COD,North,Annchester,Nebraska,Delivered,FBA,Amazon UK
44,2024-11-26,CUST0044,Dr. Ellen Mercer,PROD0044,Play 136,Home,Kitchen,913.53,8,0.17,17.91,UPI,East,Alvarezhaven,Vermont,Shipped,Easy Ship,Amazon.com
45,2025-05-10,CUST0045,Christy Gordon,PROD0045,Enough 686,Sports,Cycling,1199.3,5,0.22,29.06,Net Banking,Central,Port Lisaside,Alaska,Shipped,FBA,Amazon.com
46,2024-02-09,CUST0046,Sharon Allen,PROD0046,Explain 235,Books,Non-Fiction,1980.83,10,0.01,25.27,Credit Card,East,Lake Matthew,Arizona,Shipped,Easy Ship,Amazon UK
47,2025-06-01,CUST0047,Michele Wallace,PROD0047,Bit 478,Clothing,Womens Wear,557.68,5,0.0,7.35,COD,South,Christopherbury,Connecticut,Shipped,FBA,Amazon DE
48,2025-03-09,CUST0048,William Perez,PROD0048,Item 709,Clothing,Womens Wear,1567.23,4,0.15,40.37,UPI,North,Charlesside,New Jersey,Cancelled,FBA,Amazon.com
49,2024-08-04,CUST0049,Patricia Hawkins,PROD0049,Inside 691,Sports,Outdoor,996.94,7,0.23,13.42,Amazon Pay,South,South Timothy,Nebraska,Delivered,Easy Ship,Amazon.com
50,2025-01-31,CUST0050,Stephanie Lawrence,PROD0050,None 587,Sports,Outdoor,696.7,5,0.23,7.57,Net Banking,West,Knightberg,Hawaii,Shipped,Easy Ship,Amazon UK
51,2024-12-07,CUST0051,Haley Dougherty,PROD0051,Design 112,Sports,Fitness,1845.69,4,0.11,35.87,Debit Card,Central,Port Christophermouth,Alaska,Delivered,FBM,Amazon DE
52,2025-05-20,CUST0052,Peter Vaughan,PROD0052,Card 964,Sports,Cycling,1596.64,7,0.2,48.16,Credit Card,North,North Thomastown,Oklahoma,Delivered,FBM,Amazon UK
