trip_id,pickup_datetime,dropoff_datetime,pickup_borough,pickup_zone,dropoff_borough,dropoff_zone,passenger_count,trip_distance_miles,fare_amount,tip_amount,tolls_amount,total_amount,payment_type,rate_code,vendor_id,surge_multiplier,trip_duration_min,speed_mph
1,2024-03-08 22:12:21,2024-03-08 23:08:21,Queens,Sunnyside,Staten Island,Tompkinsville,1,13.99,34.43,7.21,0,41.64,Business Card,5,VEND002,1.0,56,15.0
2,2024-10-18 03:41:57,2024-10-18 05:59:57,Manhattan,Lower East Side,Staten Island,Great Kills,3,20.02,58.92,13.71,0,72.63,Business Card,2,VEND003,1.0,138,8.7
3,2025-03-30 08:48:27,2025-03-30 10:33:27,Bronx,Pelham Bay,Bronx,Fordham,3,29.64,48.93,9.28,2.27,60.48,Google Pay,4,VEND001,2.6,105,16.9
4,2024-03-25 20:02:59,2024-03-25 20:14:59,Manhattan,Financial District,Brooklyn,Park Slope,4,2.33,9.02,0.74,0,9.76,Apple Pay,5,VEND002,1.0,12,11.7
5,2025-06-02 15:13:50,2025-06-02 15:14:50,Manhattan,Central Park,Manhattan,Midtown,5,0.63,3.78,0.23,0,4.01,Google Pay,3,VEND003,1.0,1,37.8
6,2024-03-12 16:16:05,2024-03-12 16:41:05,Brooklyn,Park Slope,Manhattan,Greenwich Village,3,7.6,15.7,2.71,0,18.41,Google Pay,3,VEND001,2.6,25,18.2
7,2024-05-03 09:31:40,2024-05-03 10:13:40,Queens,Woodside,Bronx,Riverdale,3,6.14,19.99,2.16,0,22.15,Business Card,3,VEND002,1.0,42,8.8
8,2024-12-04 09:21:20,2024-12-04 09:32:20,Bronx,Fordham,Staten Island,Tompkinsville,6,2.17,7.19,1.72,0,8.91,Business Card,3,VEND003,1.0,11,11.8
9,2024-12-10 14:54:41,2024-12-10 16:55:41,Queens,Jamaica,Staten Island,Port Richmond,1,17.02,52.31,3.76,0,56.07,Business Card,4,VEND001,1.0,121,8.4
10,2025-04-23 21:14:07,2025-04-23 22:11:07,Queens,Flushing,Brooklyn,Bedford-Stuyvesant,2,9.32,18.91,3.08,0,21.99,Business Card,2,VEND002,1.0,57,9.8
11,2025-03-04 10:25:53,2025-03-04 10:54:53,Brooklyn,Williamsburg,Bronx,Mott Haven,1,6.13,12.08,1.25,0,13.33,Google Pay,5,VEND003,1.0,29,12.7
12,2024-03-15 09:44:49,2024-03-15 10:16:49,Staten Island,Port Richmond,Brooklyn,Bedford-Stuyvesant,3,4.52,11.09,1.84,0,12.93,Cash,5,VEND001,1.0,32,8.5
13,2024-07-23 00:33:05,2024-07-23 03:06:05,Manhattan,Midtown,Manhattan,Harlem,6,28.36,64.64,13.71,6.4,84.75,Business Card,1,VEND002,1.0,153,11.1
14,2024-02-09 00:39:43,2024-02-09 01:52:43,Brooklyn,Crown Heights,Staten Island,Great Kills,3,18.75,43.38,10.18,0,53.56,Apple Pay,3,VEND003,1.9,73,15.4
15,2024-09-07 17:06:14,2024-09-07 17:56:14,Queens,Flushing,Staten Island,St. George,5,13.4,37.21,5.84,3.66,46.71,Venmo,4,VEND001,1.3,50,16.1
16,2024-05-09 18:58:31,2024-05-09 20:17:31,Brooklyn,Brooklyn Heights,Brooklyn,Bedford-Stuyvesant,2,15.08,41.38,6.28,0,47.66,Credit Card,1,VEND002,1.0,79,11.5
17,2025-03-10 01:45:25,2025-03-10 04:04:25,Bronx,Mott Haven,Manhattan,Financial District,6,18.13,39.68,4.92,0,44.6,Credit Card,2,VEND003,1.0,139,7.8
18,2025-03-18 05:29:39,2025-03-18 05:34:39,Staten Island,Tompkinsville,Queens,Sunnyside,3,0.71,3.97,0.63,0,4.6,Credit Card,3,VEND001,1.0,5,8.5
19,2025-03-14 07:27:08,2025-03-14 08:26:08,Brooklyn,Williamsburg,Bronx,Mott Haven,2,9.67,20.07,3.24,0,23.31,Business Card,1,VEND002,1.0,59,9.8
20,2024-10-06 18:18:11,2024-10-06 18:53:11,Brooklyn,Park Slope,Queens,Astoria,1,6.11,11.75,1.67,0,13.42,Credit Card,3,VEND003,2.0,35,10.5
