sale_id,date,sales_rep_id,sales_rep_name,region,territory,product_category,customer_id,deal_size,deal_value,commission_rate,commission_amount,target_amount,target_achievement_pct,fiscal_quarter,fiscal_year,deal_stage,days_to_close,forecast_category
1,2025-09-17,REP02,Eve Davis,EMEA,Joshuaberg Territory,Consulting,CUST0001,Medium,218652.05,0.062,13556.43,243121.74,0.0,Q1,2025,Qualification,,Omitted
2,2024-10-08,REP03,Frank Miller,Latin America,New Kristineview Territory,Hardware,CUST0002,Medium,128573.84,0.046,5914.4,136099.19,122.9,Q1,2024,Closed Won,72,Upside
3,2024-12-18,REP04,Diana Prince,APAC,East Heatherland Territory,Services,CUST0003,Enterprise,30276.32,0.1,3027.63,24226.21,0.0,Q1,2024,Qualification,,Best Case
4,2024-05-05,REP05,Henry Wilson,Latin America,North Stevemouth Territory,Services,CUST0004,Large,287035.64,0.084,24110.99,330743.87,84.6,Q4,2024,Closed Won,130,Pipeline
5,2024-09-23,REP06,Bob Smith,South Asia,New James Territory,Software,CUST0005,Medium,397436.86,0.076,30205.2,300388.64,0.0,Q4,2024,Prospecting,,Omitted
6,2024-04-22,REP07,Jack Taylor,North America,New Bethstad Territory,Services,CUST0006,Large,231005.72,0.021,4851.12,220129.73,0.0,Q1,2024,Qualification,,Upside
7,2024-08-07,REP08,Jack Taylor,South Asia,Port Shannon Territory,Software,CUST0007,Large,217833.98,0.042,9149.03,323172.19,0.0,Q3,2024,Qualification,,Upside
8,2025-06-04,REP09,Charlie Brown,North America,East Francisco Territory,Cloud Platform,CUST0008,Large,212150.63,0.078,16547.75,155079.49,0.0,Q1,2025,Qualification,,Upside
9,2024-02-12,REP10,Alice Johnson,North America,Lake Christopher Territory,Consulting,CUST0009,Large,362240.63,0.062,22458.92,462531.74,57.1,Q3,2024,Negotiation,,Omitted
10,2025-08-19,REP01,Iris Chen,Latin America,Rossville Territory,Software,CUST0010,Small,82961.4,0.038,3152.53,83068.39,56.3,Q1,2025,Negotiation,,Upside
11,2024-10-01,REP02,Frank Miller,North America,Melissastad Territory,Software,CUST0011,Medium,450734.71,0.054,24339.67,577962.25,22.8,Q4,2024,Proposal,,Commit
12,2025-05-07,REP03,Jack Taylor,North America,Reynoldsburgh Territory,Consulting,CUST0012,Small,23194.62,0.087,2017.93,25017.62,0.0,Q4,2025,Closed Lost,,Best Case
13,2024-02-07,REP04,Grace Lee,EMEA,Kathrynville Territory,Services,CUST0013,Enterprise,418073.99,0.081,33863.99,602473.62,0.0,Q1,2024,Qualification,,Upside
14,2024-11-08,REP05,Bob Smith,South Asia,Huntchester Territory,Services,CUST0014,Medium,113303.89,0.098,11103.78,123929.32,74.1,Q3,2024,Negotiation,,Commit
15,2024-09-22,REP06,Iris Chen,South Asia,Kellerstad Territory,Services,CUST0015,Medium,28724.38,0.074,2125.6,36994.63,127.1,Q3,2024,Closed Won,180,Upside
16,2025-09-29,REP07,Jack Taylor,South Asia,Brianmouth Territory,Consulting,CUST0016,Small,246321.87,0.098,24139.54,294996.27,126.6,Q3,2025,Closed Won,124,Commit
17,2024-09-06,REP08,Grace Lee,South Asia,Penningtonfurt Territory,Cloud Platform,CUST0017,Medium,384864.88,0.083,31943.79,417628.49,35.2,Q2,2024,Proposal,,Omitted
18,2025-04-06,REP09,Jack Taylor,South Asia,Harveyborough Territory,Services,CUST0018,Medium,59557.25,0.032,1905.83,54666.12,10.6,Q1,2025,Proposal,,Commit
19,2025-01-31,REP10,Henry Wilson,Latin America,Scottville Territory,Software,CUST0019,Medium,418616.8,0.028,11721.27,481244.94,0.0,Q4,2025,Qualification,,Upside
20,2024-09-25,REP01,Jack Taylor,EMEA,Guzmanborough Territory,Consulting,CUST0020,Medium,424906.43,0.043,18270.98,455849.77,107.1,Q4,2024,Closed Won,121,Pipeline
21,2025-03-29,REP02,Alice Johnson,APAC,New Bob Territory,Software,CUST0021,Enterprise,412983.15,0.069,28495.84,582916.51,0.0,Q4,2025,Prospecting,,Commit
22,2025-08-15,REP03,Grace Lee,Latin America,Port Markfort Territory,Consulting,CUST0022,Medium,446944.55,0.082,36649.45,396878.02,106.0,Q1,2025,Closed Won,135,Pipeline
23,2024-04-26,REP04,Frank Miller,South Asia,Port Jerry Territory,Services,CUST0023,Medium,298590.54,0.035,10450.67,330875.33,0.0,Q3,2024,Prospecting,,Commit
24,2025-07-09,REP05,Diana Prince,Latin America,Hugheston Territory,Software,CUST0024,Medium,416023.58,0.04,16640.94,324263.31,0.0,Q2,2025,Prospecting,,Upside
25,2024-01-18,REP06,Diana Prince,EMEA,Jeromefort Territory,Cloud Platform,CUST0025,Medium,117865.24,0.093,10961.47,104984.06,0.0,Q4,2024,Closed Lost,,Best Case
26,2025-07-01,REP07,Bob Smith,APAC,East Michelle Territory,Software,CUST0026,Medium,381613.83,0.061,23278.44,487466.22,0.0,Q4,2025,Prospecting,,Commit
27,2024-08-24,REP08,Henry Wilson,APAC,North Marissa Territory,Hardware,CUST0027,Enterprise,123379.82,0.022,2714.36,157181.43,88.7,Q2,2024,Closed Won,91,Pipeline
28,2024-02-11,REP09,Jack Taylor,North America,Lake Alexandra Territory,Services,CUST0028,Enterprise,406902.29,0.097,39469.52,364532.01,74.2,Q3,2024,Negotiation,,Commit
29,2024-02-11,REP10,Alice Johnson,EMEA,South Timothyfurt Territory,Cloud Platform,CUST0029,Small,261438.97,0.051,13333.39,224080.28,50.7,Q1,2024,Negotiation,,Commit
30,2024-10-19,REP01,Iris Chen,North America,Port Danielle Territory,Cloud Platform,CUST0030,Enterprise,344666.48,0.058,19990.66,246897.32,0.0,Q1,2024,Qualification,,Omitted
31,2024-03-05,REP02,Bob Smith,EMEA,Evansville Territory,Services,CUST0031,Large,22315.7,0.062,1383.57,26502.63,45.0,Q2,2024,Negotiation,,Omitted
32,2025-04-12,REP03,Eve Davis,APAC,New Michael Territory,Services,CUST0032,Enterprise,275086.4,0.06,16505.18,299363.84,134.1,Q4,2025,Closed Won,78,Commit
33,2024-01-08,REP04,Alice Johnson,Latin America,Jamesborough Territory,Software,CUST0033,Enterprise,340803.24,0.091,31013.09,283354.26,79.1,Q2,2024,Negotiation,,Pipeline
34,2025-02-28,REP05,Charlie Brown,North America,Seanville Territory,Software,CUST0034,Small,363350.29,0.02,7267.01,451797.18,79.1,Q2,2025,Negotiation,,Commit
35,2024-02-14,REP06,Jack Taylor,South Asia,Lake Jonfort Territory,Hardware,CUST0035,Enterprise,35038.52,0.058,2032.23,33563.79,0.0,Q3,2024,Qualification,,Best Case
36,2025-02-06,REP07,Alice Johnson,South Asia,Benjaminburgh Territory,Software,CUST0036,Medium,338093.41,0.069,23328.45,333437.53,58.3,Q2,2025,Negotiation,,Commit
37,2025-04-27,REP08,Grace Lee,APAC,Delacruzberg Territory,Hardware,CUST0037,Medium,253829.52,0.075,19037.21,325792.28,53.9,Q1,2025,Negotiation,,Pipeline
38,2025-05-23,REP09,Bob Smith,EMEA,Lake Sarahaven Territory,Services,CUST0038,Large,204808.4,0.093,19047.18,145436.99,51.5,Q2,2025,Negotiation,,Best Case
39,2024-01-18,REP10,Bob Smith,APAC,Daniellefort Territory,Services,CUST0039,Small,370056.97,0.028,10361.6,530309.41,100.3,Q2,2024,Closed Won,151,Omitted
40,2024-02-19,REP01,Charlie Brown,APAC,Breannamouth Territory,Hardware,CUST0040,Medium,131133.16,0.096,12588.78,126062.55,59.1,Q2,2024,Negotiation,,Pipeline
41,2025-05-16,REP02,Eve Davis,EMEA,Jerryberg Territory,Consulting,CUST0041,Medium,265189.74,0.075,19889.23,372527.29,0.0,Q2,2025,Closed Lost,,Upside
42,2025-08-18,REP03,Iris Chen,EMEA,Jesseview Territory,Hardware,CUST0042,Small,70195.51,0.041,2878.02,103144.95,129.2,Q3,2025,Closed Won,48,Pipeline
43,2024-10-24,REP04,Frank Miller,EMEA,Nancyport Territory,Hardware,CUST0043,Enterprise,133375.73,0.038,5068.28,185340.81,110.1,Q2,2024,Closed Won,16,Pipeline
44,2024-09-26,REP05,Grace Lee,EMEA,Port Shawntown Territory,Hardware,CUST0044,Medium,268976.44,0.037,9952.13,383677.13,13.4,Q3,2024,Proposal,,Upside
45,2024-10-28,REP06,Eve Davis,Latin America,Butlerburgh Territory,Services,CUST0045,Enterprise,102247.77,0.044,4498.9,144543.84,112.5,Q1,2024,Closed Won,55,Upside
46,2025-04-03,REP07,Grace Lee,APAC,South Cristinaton Territory,Services,CUST0046,Medium,96867.08,0.057,5521.42,125151.83,0.0,Q4,2025,Qualification,,Best Case
47,2024-01-31,REP08,Eve Davis,APAC,Collinsfurt Territory,Cloud Platform,CUST0047,Medium,53169.83,0.087,4625.78,56422.95,19.8,Q4,2024,Proposal,,Omitted
48,2024-03-11,REP09,Diana Prince,North America,Marystad Territory,Cloud Platform,CUST0048,Medium,311020.11,0.029,9019.58,364376.03,38.6,Q2,2024,Proposal,,Omitted
49,2024-04-15,REP10,Charlie Brown,North America,Ewingport Territory,Software,CUST0049,Medium,68644.37,0.064,4393.24,89931.4,112.5,Q1,2024,Closed Won,121,Omitted
